schema_version,task_id,row_epistemic_status,claim_id,source_id,assumption_ids,structure,metric,count_object,domain_size,codomain_size,numerator,denominator,value_label,notes
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,1,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,1,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,1,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,1,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,1,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,1,1,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,1,1,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,2,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,2,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,2,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,1,2,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,1,2,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,1,2,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,1,2,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,3,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,3,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,3,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,1,3,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,1,3,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,1,3,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,1,3,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,4,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,4,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,4,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,1,4,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,1,4,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,1,4,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,1,4,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,2,1,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,2,1,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,2,1,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,2,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,2,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,2,1,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,2,1,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,2,2,3,1,3,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,2,2,4,1,4,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,2,2,4,3,4/3,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,2,2,3,1,3,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,2,2,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,2,2,2,1,2,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,2,2,2,3,2/3,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,2,3,5,1,5,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,2,3,6,1,6,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,2,3,6,5,6/5,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,2,3,5,1,5,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,2,3,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,2,3,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,2,3,1,5,1/5,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,2,4,7,1,7,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,2,4,8,1,8,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,2,4,8,7,8/7,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,2,4,7,1,7,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,2,4,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,2,4,2,1,2,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,2,4,2,7,2/7,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,3,1,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,3,1,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,3,1,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,3,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,3,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,3,1,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,3,1,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,3,2,7,1,7,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,3,2,6,1,6,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,3,2,6,7,6/7,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,3,2,5,1,5,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,3,2,5,7,5/7,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,3,2,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,3,2,1,7,1/7,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,3,3,19,1,19,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,3,3,12,1,12,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,3,3,12,19,12/19,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,3,3,11,1,11,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,3,3,11,19,11/19,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,3,3,3,1,3,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,3,3,3,19,3/19,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,3,4,37,1,37,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,3,4,20,1,20,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,3,4,20,37,20/37,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,3,4,19,1,19,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,3,4,19,37,19/37,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,3,4,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,3,4,1,37,1/37,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,4,1,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,4,1,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,4,1,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,4,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,4,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,4,1,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,4,1,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,4,2,15,1,15,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,4,2,8,1,8,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,4,2,8,15,8/15,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,4,2,7,1,7,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,4,2,7,15,7/15,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,4,2,2,1,2,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,4,2,2,15,2/15,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,4,3,65,1,65,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,4,3,20,1,20,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,4,3,4,13,4/13,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,4,3,19,1,19,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,4,3,19,65,19/65,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,4,3,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,4,3,1,65,1/65,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,4,4,175,1,175,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,4,4,40,1,40,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,4,4,8,35,8/35,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,4,4,39,1,39,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,4,4,39,175,39/175,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,4,4,4,1,4,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,4,4,4,175,4/175,source cyclic count divided by admissible payoff functions
